time,loves,wow,haha,likes,sad,angry
2017-02-06 12:25:01.394,125,12,14,1358,1,125
2017-02-06 12:26:01.552,126,12,14,1360,1,126
2017-02-06 12:27:01.729,126,12,14,1360,1,126
2017-02-06 12:28:01.909,126,12,14,1362,1,126
2017-02-06 12:29:02.128,126,12,14,1362,1,126
2017-02-06 12:30:02.314,126,12,14,1363,1,126
2017-02-06 12:31:02.488,126,12,14,1365,1,126
2017-02-06 12:32:02.66,126,12,14,1365,1,126
2017-02-06 12:33:02.859,126,12,14,1368,1,126
2017-02-06 12:34:03.038,126,12,14,1369,1,126
2017-02-06 12:35:03.271,126,12,14,1370,1,126
2017-02-06 12:36:03.453,126,12,14,1371,1,126
2017-02-06 12:37:03.69,126,12,14,1371,1,126
2017-02-06 12:38:03.881,126,12,14,1371,1,126
2017-02-06 12:39:04.077,126,12,14,1371,1,126
2017-02-06 12:40:04.252,126,12,14,1373,1,126
2017-02-06 12:41:04.547,126,12,14,1375,1,126
2017-02-06 12:42:04.726,126,12,14,1376,1,126
2017-02-06 12:43:05.021,126,12,14,1378,1,126
2017-02-06 12:44:05.188,126,12,14,1378,1,126
2017-02-06 12:45:05.366,127,12,14,1380,1,127
2017-02-06 12:46:05.544,127,12,15,1381,1,127
2017-02-06 12:47:05.78,127,12,16,1381,1,127
2017-02-06 12:48:05.977,128,12,16,1382,1,128
2017-02-06 12:49:06.24,129,12,16,1382,1,129
2017-02-06 12:50:06.417,129,12,16,1382,1,129
2017-02-06 12:51:06.59,129,12,16,1385,1,129
2017-02-06 12:53:26.815,130,12,16,1389,1,130
2017-02-06 12:54:26.981,130,12,16,1389,1,130
2017-02-06 12:55:27.156,130,12,16,1390,1,130
2017-02-06 12:56:27.327,130,12,16,1391,1,130
2017-02-06 12:57:27.515,130,12,16,1391,1,130
2017-02-06 12:58:27.719,130,12,16,1393,1,130
2017-02-06 12:59:27.977,130,12,16,1395,1,130
2017-02-06 13:00:28.155,130,12,16,1396,1,130
2017-02-06 13:01:28.323,130,12,16,1399,1,130
2017-02-06 13:02:28.527,130,12,16,1401,1,130
2017-02-06 13:03:28.709,130,12,16,1401,1,130
2017-02-06 13:04:28.93,130,12,16,1401,1,130
2017-02-06 13:05:29.117,130,12,16,1402,1,130
2017-02-06 13:06:29.429,130,12,16,1403,1,130
2017-02-06 13:07:29.583,130,12,16,1404,1,130
2017-02-06 13:08:29.773,130,12,16,1405,1,130
2017-02-06 13:09:29.925,130,12,16,1409,1,130
2017-02-06 13:10:30.153,130,12,16,1410,1,130
2017-02-06 13:11:30.312,130,12,16,1412,1,130
2017-02-06 13:12:30.496,130,12,16,1413,1,130
2017-02-06 13:13:30.659,130,12,16,1414,1,130
2017-02-06 13:14:30.834,130,12,16,1414,1,130
2017-02-06 13:15:31.019,130,12,16,1415,1,130
2017-02-06 13:16:31.2,131,12,16,1415,1,131
2017-02-06 13:17:31.384,131,12,16,1416,1,131
2017-02-06 13:18:31.565,131,12,16,1417,1,131
2017-02-06 13:19:31.749,131,12,16,1417,1,131
2017-02-06 13:20:31.94,132,12,16,1418,1,132
2017-02-06 13:22:52.138,132,12,16,1421,1,132
2017-02-06 13:23:52.304,132,12,16,1422,1,132
2017-02-06 13:24:52.482,132,12,16,1422,1,132
